faixa,intervalo_segundos,hora_decimal
1,221.57,8.42
1,184.75,20.82
2,134.16,10.72
2,81.8,8.38
1,91.22,18.48
1,184.29,21.67
2,76.07,11.12
1,237.01,9.09
2,184.01,11.99
1,116.61,16.22
2,234.97,15.15
1,220.63,21.62
1,165.15,8.56
2,114.22,21.82
2,175.79,18.47
1,132.74,15.86
1,158.95,16.57
1,112.64,19.11
2,100.35,16.37
2,143.69,15.01
1,73.28,13.88
1,189.17,18.38
2,160.86,7.43
2,182.41,11.39
1,204.56,12.43
2,103.52,13.38
1,123.66,10.1
1,113.63,6.65
1,191.47,9.95
1,116.73,12.16
1,183.49,14.35
2,154.45,14.44
1,133.58,15.7
2,235.56,8.82
1,133.74,18.99
1,170.92,17.92
1,116.2,10.14
2,165.6,17.74
1,164.77,7.94
1,229.83,15.4
1,213.63,6.4
1,136.89,19.91
1,135.6,14.45
1,226.99,7.79
1,125.95,8.32
2,87.65,7.53
1,233.56,11.1
2,92.31,7.13
2,181.16,19.27
2,230.82,11.47
2,96.61,9.82
2,142.69,19.66
1,169.72,8.35
2,83.6,15.08
1,236.12,15.75
1,143.64,14.13
1,228.13,17.66
1,176.26,20.48
2,113.83,10.13
2,148.29,6.2
2,126.83,13.61
2,75.76,10.55
2,213.53,21.36
2,74.66,11.47
1,90.36,6.17
2,142.49,8.01
2,224.89,17.05
2,198.9,18.87
2,223.38,14.78
2,188.64,8.57
2,198.27,20.83
1,183.1,10.05
2,189.82,21.6
1,169.03,15.7
2,95.96,7.02
1,208.01,18.47
1,216.28,19.74
2,187.07,15.73
2,174.59,9.99
2,121.05,8.96
1,81.52,13.47
1,140.95,6.01
2,121.52,18.21
1,106.35,19.74
1,109.47,7.18
1,126.35,12.81
2,129.51,14.42
1,118.71,7.63
2,103.43,18.97
2,105.45,10.51
1,146.54,15.54
2,86.33,13.75
2,232.75,17.52
2,224.95,15.74
2,194.85,13.38
2,203.99,11.51
1,77.65,10.04
1,196.65,19.48
1,221.44,16.33
1,172.41,16.91
1,120.36,14.89
1,153.89,17.27
2,183.65,16.13
2,80.19,20.83
1,176.84,7.76
2,91.87,10.89
2,112.36,12.01
1,71.65,20.96
1,226.01,18.26
1,202.09,12.59
2,196.57,6.46
2,76.99,16.09
1,71.56,11.25
2,113.52,6.67
2,184.5,18.61
1,171.11,16.93
2,225.9,17.85
1,221.44,10.02
2,203.93,17.16
1,222.43,16.48
2,144.01,18.98
2,180.98,10.88
1,206.9,13.86
2,107.48,13.4
1,234.19,21.91
2,179.2,19.28
1,75.65,12.01
1,148.52,6.82
2,121.85,12.85
2,191.08,7.94
2,191.24,7.33
1,77.03,8.16
1,208.88,13.77
1,104.89,17.26
2,135.36,12.47
1,205.45,6.57
2,114.86,8.44
1,136.21,9.61
1,190.45,16.38
1,169.11,7.25
1,80.38,9.43
1,129.03,9.87
2,128.39,20.73
1,151.34,18.81
1,128.16,6.47
1,232.43,13.83
2,182.39,19.51
1,87.51,20.07
2,85.94,10.55
1,72.18,18.9
1,96.32,13.65
2,230.98,6.22
1,145.65,16.15
2,229.93,16.66
1,151.77,10.37
2,180.54,15.14
2,200.06,21.84
1,190.2,9.75
2,153.05,19.55
1,219.43,16.9
2,166.42,12.9
1,192.42,19.6
2,65.59,16.17
1,121.04,8.04
1,231.98,17.15
2,136.61,11.32
2,143.96,12.67
1,110.89,6.83
1,161.07,21.46
2,123.8,20.69
1,189.24,9.33
1,218.44,20.47
1,104.36,11.84
1,150.1,18.76
1,158.9,7.25
1,124.61,11.37
1,192.43,14.82
2,80.17,13.04
1,184.48,14.24
2,179.76,13.87
2,130.09,15.86
1,103.34,20.18
2,201.77,20.74
1,165.08,7.18
1,218.91,6.15
1,75.55,10.92
1,130.15,21.75
1,217.29,19.43
1,72.58,11.58
1,106.16,20.56
2,85.69,17.64
2,125.45,7.57
1,203.04,7.11
2,67.52,7.7
2,222.31,12.51
2,143.43,12.71
2,77.03,6.76
1,128.4,15.62
2,85.74,17.83
1,109.1,17.51
2,119.09,9.71
1,221.2,14.45
1,168.43,21.02
2,148.7,13.73
2,89.77,10.96
1,81.49,9.27
1,150.97,14.88
2,102.8,9.85
2,181.92,8.47
2,178.02,16.77
2,77.44,17.05
2,150.66,14.74
1,215.01,11.86
1,89.32,16.03
1,98.22,14.73
2,145.75,9.73
2,175.25,21.53
1,228.12,21.89
1,191.37,14.26
2,168.05,9.74
1,145.28,19.52
2,187.47,11.13
1,131.37,14.72
1,90.03,15.62
2,177.96,11.29
1,153.29,13.34
2,113.42,9.85
1,180.53,6.69
2,227.41,12.75
1,222.25,10.4
1,119.61,8.55
2,159.39,19.08
2,119.19,16.54
1,153.77,9.3
2,150.24,13.77
2,176.15,11.05
2,193.23,18.93
2,165.47,10.39
1,119.07,10.27
2,137.29,21.94
1,111.2,20.84
1,124.39,20.31
1,171.72,10.15
2,142.12,6.28
2,70.39,7.36
1,221.11,14.51
2,169.18,11.45
2,211.17,15.62
1,67.75,19.14
1,157.9,19.86
2,115.6,21.18
2,232.94,17.85
1,208.13,13.54
1,185.43,20.68
1,206.9,8.08
1,200.49,10.02
1,131.49,20.3
1,200.11,14.38
2,75.6,15.29
2,125.63,13.04
2,103.11,15.48
1,93.64,10.91
1,78.29,19.75
2,71.46,20.54
2,238.08,10.86
1,202.87,13.19
2,195.99,21.92
2,135.97,15.34
2,216.39,12.46
2,171.66,15.35
2,226.11,7.14
1,177.77,9.2
1,81.48,20.05
1,131.8,6.76
2,220.13,9.46
2,238.99,11.85
1,68.53,13.3
2,163.89,12.96
1,228.4,17.53
1,99.88,15.03
1,212.16,21.86
1,219.73,14.66
1,175.31,9.16
2,137.73,21.06
1,153.72,16.78
2,174.94,12.31
2,91.83,14.72
2,164.63,8.76
1,119.71,16.88
1,139.58,6.61
1,72.5,20.78
1,229.19,17.62
1,235.7,15.89
2,178.29,8.85
1,111.51,12.05
1,187.43,13.97
2,75.4,19.83
2,132.19,7.04
1,201.12,6.81
1,200.72,13.17
2,79.95,17.79
1,106.15,9.33
1,121.98,10.56
2,220.33,8.31
1,154.29,13.17
2,117.66,11.27
2,187.64,12.33
2,207.36,19.74
1,236.92,18.9
2,125.96,6.89
1,102.1,10.99
1,230.72,15.37
1,217.44,17.42
1,68.8,19.15
2,194.26,16.38
1,72.52,14.67
1,205.48,12.37
2,99.75,18.59
1,117.69,9.96
2,115.41,18.14
2,184.31,20.22
1,110.25,16.47
1,110.21,15.57
2,83.38,18.21
2,123.25,15.18
1,133.91,7.83
2,90.06,18.43
1,117.99,12.74
1,238.52,12.41
1,184.17,9.51
1,237.2,16.88
1,117.82,18.32
2,130.31,6.77
2,70.06,13.67
2,215.8,15.63
1,125.65,9.96
2,172.23,14.3
1,215.66,12.97
2,80.31,12.48
1,110.92,16.29
1,179.19,12.15
2,119.34,11.87
1,204.91,12.4
2,156.71,11.88
1,215.45,14.71
2,111.65,15.4
1,97.5,21.7
1,93.65,16.05
2,224.34,8.59
2,110.32,15.3
2,169.38,6.87
1,186.02,18.45
1,83.9,19.31
1,202.33,17.2
1,95.43,20.12
2,129.24,17.02
2,182.32,10.24
1,146.07,20.42
1,72.1,11.94
2,223.87,16.63
1,193.57,8.39
2,204.13,12.21
1,213.6,19.96
2,227.99,11.13
1,186.63,17.16
2,176.21,15.52
2,205.41,12.27
2,138.59,6.81
1,112.51,18.82
1,234.42,16.33
2,127.83,18.4
2,231.3,7.42
2,94.74,20.11
2,95.49,15.15
1,224.26,7.11
1,236.63,10.4
2,94.06,18.28
1,149.87,19.23
2,205.46,9.3
2,144.21,6.34
2,109.47,14.52
